Target Type,Major Category,Minor Category,Anatomic Group,N Characters,TG263-Primary Name,TG-263-Reverse Order Name,Description,FMAID
Anatomic,Bone,Femur,Pelvis,12,Femur_Head_R,R_Head_Femur,Femur Head & Neck Right,32842
Anatomic,Joint,Femur,Pelvis,13,Femur_Joint_L,L_Joint_Femur,Femoral Joint Left,35180
Anatomic,Joint,Femur,Pelvis,13,Femur_Joint_R,R_Joint_Femur,Femoral Joint Right,35179
Anatomic,Bone,Femur,Limbs,7,Femur_L,L_Femur,Femur  Whole Left,24475
Anatomic,Bone,Femur,Pelvis,12,Femur_Neck_L,L_Neck_Femur,Femur Neck Right,42386
Anatomic,Bone,Femur,Pelvis,12,Femur_Neck_R,R_Neck_Femur,Femur Neck Left,42387
Anatomic,Bone,Femur,Limbs,7,Femur_R,R_Femur,Femur Whole Right,24474
Anatomic,Bone,Femur,Pelvis,13,Femur_Shaft_L,L_Shaft_Femur,Femur Shaft Left,32849
Anatomic,Bone,Femur,Pelvis,13,Femur_Shaft_R,R_Shaft_Femur,Femur Shaft Right,32848
Anatomic,Bone,Femur,Limbs,6,Femurs,Femurs,Both Femurs,9611
Anatomic,Bone,Fibula,Limbs,6,Fibula,Fibula,Fibula,24479
Anatomic,Bone,Fibula,Limbs,8,Fibula_L,L_Fibula,Fibula Left,24481
Anatomic,Bone,Fibula,Limbs,8,Fibula_R,R_Fibula,Fibula Right,24480
Non-Anatomic,Bladder,,Pelvis,5,Foley,Foley,Foley Catheter,None
Anatomic,Bone,Fossa,Head and Neck,13,Fossa_Jugular,Jugular_Fossa,Jugular Fossa,56429
Anatomic,Bone,Fossa,Head and Neck,15,Fossa_Posterior,Posterior_Fossa,Posterior Fossa,54368
Anatomic,Gallbladder,,Pelvis,11,Gallbladder,Gallbladder,Gall bladder,7202
Anatomic,Reproductive,,Pelvis,8,Genitals,Genitals,Genitals,45643
Anatomic,Gland,Adrenal,Thorax,14,Glnd_Adrenal_L,L_Adrenal_Glnd,Adrenal glands left,15629
Anatomic,Gland,Adrenal,Thorax,14,Glnd_Adrenal_R,R_Adrenal_Glnd,Adrenal glands right,15630
Anatomic,Gland,Lacrimal,Head and Neck,13,Glnd_Lacrimal,Lacrimal_Glnd,Lacrimal Gland,59101
Anatomic,Gland,Lacrimal,Head and Neck,15,Glnd_Lacrimal_L,L_Lacrimal_Glnd,Lacrimal Gland Left,59103
Anatomic,Gland,Lacrimal,Head and Neck,15,Glnd_Lacrimal_R,R_Lacrimal_Glnd,Lacrimal Gland Right,59102
Anatomic,Gland,,Thorax,16,Glnd_Parathyroid,Parathyroid_Glnd,Parathyroid gland,13890
Anatomic,Gland,Sublingual,Head and Neck,14,Glnd_Subling_L,L_Subling_Glnd,Sublingual gland,59805
Anatomic,Gland,Sublingual,Head and Neck,14,Glnd_Subling_R,R_Subling_Glnd,Sublingual gland,59804
Anatomic,Gland,Sublingual,Head and Neck,13,Glnd_Sublings,Sublings_Glnd,Sublingual gland,320440
Anatomic,Gland,Submandibular,Head and Neck,14,Glnd_Submand_L,L_Submand_Glnd,Submandibular Gland Left,59803
Anatomic,Gland,Submandibular,Head and Neck,14,Glnd_Submand_R,R_Submand_Glnd,Submandibular Gland Right,59802
Anatomic,Gland,Submandibular,Head and Neck,13,Glnd_Submands,Submands_Glnd,Submandibular Gland,320442
Anatomic,Gland,Thymus,Thorax,11,Glnd_Thymus,Thymus_Glnd,Thymus Gland,9607
Anatomic,Gland,Thyroid,Thorax,12,Glnd_Thyroid,Thyroid_Glnd,Thyroid Gland,9603
Anatomic,Glottis,,Head and Neck,7,Glottis,Glottis,Glottis,55414
Anatomic,Heart,,Thorax,8,GreatVes,GreatVes,Great Vessels of the heart (aorta^ vena cava S&I^ pulmonary A&V),None
Anatomic,Heart,,Thorax,13,GreatVes_NAdj,NAdj_GreatVes,Non Adjacent Great Vessels,None
Anatomic,Bone,,Body,13,GrowthPlate_L,L_GrowthPlate,None,None
